is_win,time,score,enemies_algotithm,pacman_algorithm
0,0.4609851837158203,2750,2,0
0,0.32158756256103516,2150,2,0
0,0.27500104904174805,1920,2,0
0,0.3082246780395508,3050,2,0
0,0.39304280281066895,1440,2,0
0,0.323000431060791,2660,2,0
0,0.2499990463256836,1850,2,0
0,0.31594371795654297,2610,2,0
0,0.2295668125152588,1610,2,0
0,5.432075500488281,10990,1,0
0,3.5963895320892334,4770,1,0
0,0.4490017890930176,6330,1,0
0,0.46476149559020996,10680,1,0
0,0.5019686222076416,13620,1,0
0,0.050998687744140625,270,1,0
0,0.38122987747192383,4910,1,0
0,0.938103199005127,7400,0,0
0,0.6104207038879395,8630,0,0
0,1.228935718536377,7070,0,0
0,0.9831581115722656,5420,0,0
0,1.3762431144714355,7480,0,0
0,0.01500391960144043,10,0,0
0,1.1360647678375244,9860,0,0
0,27.140734910964966,700,1,1
0,72.56280088424683,1940,1,1
0,159.666747786922,402,1,1
0,133.4455511603387,3940,1,1
0,146.0087162021951,3540,1,1
0,164.2402991822482,1400,1,1
0,161.2227691862,2330,1,1
0,190.1150832556764,1220,1,1
0,197.2433067584589,1590,1,1
0,0.009001493453979492,7030,0,0
0,110.7526594601279,2750,1,1
0,105.962809801101685,2350,1,1
0,0.2295668125152588,2110,2,0
